-1,9,9,10,-1
17,19,17,16,-1
8,-1,7,-1,10
39,38,36,37,-1
24,21,20,19,21
16,-1,-1,20,19
6,-1,4,4,-1
21,22,-1,19,-1
27,25,27,25,26
22,-1,-1,21,19
-1,26,-1,25,-1
35,-1,35,-1,38
19,16,16,-1,-1
-1,1,3,5,4
16,16,15,16,-1
12,12,10,12,12
32,34,32,34,32
24,24,22,-1,24
28,-1,27,27,-1
25,24,23,23,21
-1,-1,2,3,3
27,25,25,-1,25
22,21,21,22,23
34,-1,32,35,35
-1,-1,32,-1,32
16,20,-1,19,20
3,2,-1,3,6
-1,12,14,16,-1
4,-1,3,3,5
22,22,-1,25,26
-1,-1,1,1,2
7,-1,7,7,-1
20,20,20,19,-1
1,1,1,-1,2
-1,-1,16,16,14
18,-1,-1,-1,19
9,9,8,11,11
20,-1,-1,-1,20
12,11,11,11,10
-1,38,38,35,35
22,19,21,23,-1
21,-1,-1,20,21
22,-1,20,-1,21
31,31,32,31,31
39,39,36,39,-1
36,37,37,-1,-1
30,-1,-1,31,29
17,17,-1,16,19
12,10,12,-1,9
28,-1,29,29,26
-1,22,-1,21,19
-1,16,16,14,16
-1,27,25,-1,25
7,7,9,7,9
32,33,33,36,-1
39,39,37,38,35
21,24,-1,21,21
30,27,29,28,29
-1,-1,15,-1,15
-1,-1,-1,25,24
27,-1,28,28,27
19,17,18,19,16
17,16,15,16,14
22,-1,19,19,21
20,20,20,20,-1
22,24,21,-1,21
27,27,26,-1,-1
33,-1,32,33,-1
-1,3,-1,-1,-1
36,37,38,38,38
-1,-1,14,15,-1
21,23,-1,23,25
11,12,11,11,12
-1,7,7,-1,-1
15,15,-1,16,16
4,5,3,3,-1
38,-1,36,36,36
7,7,-1,-1,5
39,39,39,39,38
7,-1,-1,7,9
26,-1,-1,-1,27
-1,5,6,4,-1
29,27,-1,-1,29
-1,-1,7,9,-1
-1,6,-1,4,-1
-1,-1,-1,26,26
-1,19,16,-1,-1
18,-1,20,17,17
-1,18,16,-1,16
2,4,3,5,7
7,7,-1,-1,7
-1,35,35,32,34
-1,26,25,26,-1
-1,-1,-1,-1,26
35,37,-1,-1,35
-1,26,26,25,-1
37,39,37,39,38
35,39,39,39,38
23,25,23,-1,23
-1,35,35,33,-1
-1,39,37,37,37
-1,3,4,-1,5
-1,11,11,8,8
29,28,-1,27,26
23,22,-1,23,-1
35,39,38,36,-1
-1,6,-1,7,5
-1,21,21,22,20
3,1,-1,1,1
31,35,35,36,35
38,-1,35,38,-1
24,23,21,24,20
20,-1,19,20,22
7,-1,5,4,6
-1,-1,37,-1,-1
-1,3,4,-1,3
-1,5,-1,5,6
-1,-1,5,6,7
38,37,38,38,-1
-1,6,-1,3,3
-1,10,11,9,7
-1,10,8,8,9
1,1,0,1,0
20,-1,19,20,-1
10,-1,14,13,14
29,-1,31,32,31
18,-1,18,19,19
5,4,-1,4,-1
33,31,33,-1,31
-1,35,-1,37,-1
36,38,38,39,39
-1,21,22,22,23
-1,-1,-1,6,4
2,-1,7,7,7
15,14,13,-1,16
-1,20,-1,20,19
-1,4,3,6,-1
-1,-1,6,2,-1
39,-1,38,38,-1
-1,27,29,-1,-1
20,21,20,23,21
7,6,-1,7,6
19,19,19,-1,19
-1,-1,6,-1,-1
25,-1,27,-1,-1
6,-1,5,7,-1
7,-1,7,5,5
-1,16,-1,18,17
21,23,19,21,23
-1,-1,16,14,16
-1,27,28,30,-1
29,29,29,29,31
24,25,24,-1,-1
-1,19,21,20,-1
29,26,-1,28,28
11,11,12,11,-1
22,27,27,27,-1
-1,3,-1,7,7
17,16,-1,16,18
27,26,27,25,-1
5,-1,-1,-1,7
-1,-1,16,14,-1
24,22,21,21,-1
35,34,33,-1,33
19,20,20,19,-1
15,-1,14,-1,-1
3,5,1,3,1
1,1,1,-1,1
19,20,20,21,-1
33,32,32,31,32
-1,21,19,19,-1
-1,-1,-1,7,4
11,11,10,9,7
20,-1,20,20,19
-1,31,31,31,31
19,21,20,20,-1
19,-1,19,-1,20
21,21,21,21,-1
6,5,7,-1,7
-1,20,20,19,19
4,6,5,5,7
-1,-1,31,31,33
18,19,16,14,-1
-1,-1,-1,-1,33
1,4,4,6,-1
-1,7,6,7,-1
4,5,3,3,-1
3,-1,4,-1,1
-1,0,1,1,1
-1,4,-1,3,1
34,32,33,35,33
20,21,25,23,22
18,19,20,20,-1
7,5,6,6,3
11,12,-1,12,11
2,1,-1,-1,1
28,-1,-1,31,31
17,-1,-1,19,19
-1,25,-1,23,-1
-1,-1,28,29,27
-1,16,20,16,-1
6,7,-1,7,8
-1,32,-1,-1,35
34,-1,-1,-1,-1
-1,-1,17,17,-1
-1,-1,-1,-1,7
28,31,-1,-1,-1
-1,9,-1,8,-1
-1,-1,15,18,16
5,7,5,-1,5
14,12,12,-1,12
29,26,28,28,27
20,-1,16,15,-1
9,11,-1,10,9
31,31,31,-1,31
-1,-1,7,7,5
35,-1,-1,35,35
-1,30,29,31,-1
-1,-1,20,-1,19
-1,39,-1,39,38
-1,5,4,3,6
-1,-1,17,16,-1
19,-1,21,-1,-1
15,15,15,16,-1
31,33,-1,33,-1
31,31,-1,-1,-1
-1,11,12,13,12
23,-1,21,-1,24
34,-1,35,35,-1
-1,19,20,-1,19
-1,1,2,1,1
3,4,5,-1,-1
-1,31,31,31,33
31,31,31,31,-1
20,-1,16,-1,-1
15,14,-1,16,15
-1,12,-1,9,12
-1,-1,-1,24,-1
33,35,-1,34,-1
-1,18,18,20,19
-1,5,7,5,-1
25,25,25,25,24
29,-1,29,31,31
-1,27,25,22,-1
35,-1,32,-1,33
-1,17,19,19,19
17,19,16,16,16
25,25,-1,-1,25
28,29,31,32,31
19,18,19,19,18
12,9,-1,11,9
-1,19,-1,16,16
-1,21,21,25,24
27,-1,31,31,-1
21,22,23,21,25
-1,-1,-1,24,21
-1,5,6,7,4
14,16,16,15,16
26,28,-1,27,29
-1,33,-1,31,35
-1,15,15,15,14
6,-1,5,-1,5
-1,5,4,5,-1
-1,4,7,7,-1
16,16,19,-1,19
22,19,22,-1,23
28,31,32,-1,-1
30,33,31,32,30
-1,-1,18,18,17
9,11,-1,10,8
31,31,31,-1,31
31,-1,31,31,32
7,3,6,6,-1
-1,29,29,29,29
31,-1,-1,30,-1
-1,9,-1,-1,-1
-1,-1,24,24,-1
31,33,35,35,-1
-1,35,36,37,39
19,18,19,-1,-1
16,15,-1,14,16
21,24,22,21,21
10,11,-1,9,8
9,-1,10,10,14
27,26,-1,25,-1
3,5,4,5,-1
16,16,16,17,-1
27,26,25,27,27
16,14,14,16,15
21,22,-1,-1,22
13,12,12,11,-1
-1,35,34,-1,35
35,35,-1,35,-1
-1,20,-1,19,19
25,-1,25,25,-1
16,16,20,17,17
17,18,-1,-1,17
27,28,27,26,27
-1,-1,21,22,21
37,37,35,37,-1
39,37,38,-1,-1
37,-1,37,36,-1
7,-1,-1,5,-1
9,7,7,6,-1
-1,16,-1,16,-1
-1,7,5,7,7
26,24,24,-1,25
0,-1,-1,0,1
26,26,-1,25,27
31,32,31,-1,31
1,1,1,1,-1
39,35,-1,38,39
-1,21,23,23,21
13,-1,12,11,10
7,7,-1,8,-1
-1,8,-1,9,8
27,25,27,-1,27
3,1,3,3,1
26,27,27,26,26
19,19,19,19,19
-1,6,6,7,7
-1,23,21,25,-1
-1,28,-1,27,-1
7,-1,5,8,-1
-1,27,-1,25,25
34,-1,32,-1,33
-1,35,34,33,33
4,1,2,1,0
-1,-1,7,6,-1
10,12,13,-1,12
28,-1,27,-1,28
19,19,19,20,-1
12,-1,9,9,10
16,14,16,16,-1
-1,27,-1,29,-1
16,16,-1,15,16
14,15,-1,16,16
6,6,7,4,3
25,-1,-1,-1,22
38,39,38,39,39
19,20,20,20,20
10,9,9,-1,10
27,-1,24,25,26
32,-1,31,35,-1
39,39,-1,38,39
3,-1,5,-1,-1
16,17,16,16,16
-1,33,34,-1,35
1,2,2,2,-1
20,19,19,-1,20
7,6,6,5,4
-1,35,36,-1,35
-1,33,33,31,31
19,-1,21,22,-1
10,13,-1,13,12
17,19,-1,-1,19
20,20,20,20,19
10,-1,9,-1,11
-1,29,31,30,31
5,-1,6,5,6
21,22,21,21,21
25,-1,27,-1,26
-1,19,19,20,-1
-1,-1,33,-1,35
37,-1,38,39,35
38,-1,39,38,36
6,6,-1,6,5
-1,4,3,-1,3
-1,11,12,-1,12
21,25,20,-1,-1
-1,15,16,16,16
39,38,38,37,-1
27,-1,25,24,26
15,15,16,15,-1
17,17,16,15,19
